order_id,customers,order_date,city,state,quantity,revenue,product_name,category_name,store_name,total_discount,Net Revenue
23,Drucilla Gilliam,1/16/2016,Santa Clara,CA,2,5799.98,Trek Fuel EX 8 29 - 2016,Mountain Bikes,Santa Cruz Bikes,$290,"$5,510"
24,Ashton Lott,1/18/2016,Floral Park,NY,2,898.00,Pure Cycles Western 3-Speed - Women's - 2015/2016,Cruisers Bicycles,Baldwin Bikes,$63,$835
24,Ashton Lott,1/18/2016,Floral Park,NY,2,1999.98,Surly Wednesday Frameset - 2016,Mountain Bikes,Baldwin Bikes,$200,"$1,800"
25,Sam Lester,1/18/2016,Baldwin,NY,1,269.99,Electra Cruiser 1 (24-Inch) - 2016,Children Bicycles,Baldwin Bikes,$27,$243
25,Sam Lester,1/18/2016,Baldwin,NY,1,269.99,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Children Bicycles,Baldwin Bikes,$54,$216
25,Sam Lester,1/18/2016,Baldwin,NY,1,269.99,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Cruisers Bicycles,Baldwin Bikes,$54,$216
25,Sam Lester,1/18/2016,Baldwin,NY,2,599.98,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Children Bicycles,Baldwin Bikes,$120,$480
25,Sam Lester,1/18/2016,Baldwin,NY,2,3098.00,Surly Straggler - 2016,Cyclocross Bicycles,Baldwin Bikes,$620,"$2,478"
26,Jackeline Colon,1/18/2016,Wappingers Falls,NY,2,539.98,Electra Cruiser 1 (24-Inch) - 2016,Children Bicycles,Baldwin Bikes,$38,$502
26,Jackeline Colon,1/18/2016,Wappingers Falls,NY,1,549.99,Electra Townie Original 21D - 2016,Cruisers Bicycles,Baldwin Bikes,$110,$440
26,Jackeline Colon,1/18/2016,Wappingers Falls,NY,1,749.99,Ritchey Timberwolf Frameset - 2016,Mountain Bikes,Baldwin Bikes,$150,$600
26,Jackeline Colon,1/18/2016,Wappingers Falls,NY,1,3999.99,Trek Slash 8 27.5 - 2016,Mountain Bikes,Baldwin Bikes,$200,"$3,800"
27,Pamala Henry,1/19/2016,Bronx,NY,2,1199.98,Electra Townie Original 7D EQ - 2016,Comfort Bicycles,Baldwin Bikes,$84,"$1,116"
27,Pamala Henry,1/19/2016,Bronx,NY,1,1320.99,Heller Shagamaw Frame - 2016,Mountain Bikes,Baldwin Bikes,$264,"$1,057"
27,Pamala Henry,1/19/2016,Bronx,NY,1,449.00,Pure Cycles William 3-Speed - 2016,Cruisers Bicycles,Baldwin Bikes,$90,$359
27,Pamala Henry,1/19/2016,Bronx,NY,1,1799.99,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,Baldwin Bikes,$126,"$1,674"
28,Eleni Gordon,1/19/2016,Richmond Hill,NY,2,539.98,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Cruisers Bicycles,Baldwin Bikes,$54,$486
28,Eleni Gordon,1/19/2016,Richmond Hill,NY,1,1320.99,Heller Shagamaw Frame - 2016,Mountain Bikes,Baldwin Bikes,$66,"$1,255"
28,Eleni Gordon,1/19/2016,Richmond Hill,NY,1,469.99,Surly Ice Cream Truck Frameset - 2016,Mountain Bikes,Baldwin Bikes,$23,$446
28,Eleni Gordon,1/19/2016,Richmond Hill,NY,2,7999.98,Trek Slash 8 27.5 - 2016,Mountain Bikes,Baldwin Bikes,"$1,600","$6,400"
29,Laureen Barry,1/20/2016,Orchard Park,NY,2,539.98,Electra Cruiser 1 (24-Inch) - 2016,Children Bicycles,Baldwin Bikes,$54,$486
29,Laureen Barry,1/20/2016,Orchard Park,NY,2,539.98,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Cruisers Bicycles,Baldwin Bikes,$27,$513
29,Laureen Barry,1/20/2016,Orchard Park,NY,2,1099.98,Electra Townie Original 21D - 2016,Comfort Bicycles,Baldwin Bikes,$55,"$1,045"
29,Laureen Barry,1/20/2016,Orchard Park,NY,1,469.99,Surly Ice Cream Truck Frameset - 2016,Mountain Bikes,Baldwin Bikes,$94,$376
29,Laureen Barry,1/20/2016,Orchard Park,NY,1,1799.99,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,Baldwin Bikes,$360,"$1,440"
30,Yvone Guerrero,1/20/2016,Merrick,NY,1,599.99,Electra Townie Original 7D EQ - 2016,Comfort Bicycles,Baldwin Bikes,$30,$570
30,Yvone Guerrero,1/20/2016,Merrick,NY,1,429.00,Pure Cycles Vine 8-Speed - 2016,Cruisers Bicycles,Baldwin Bikes,$30,$399
30,Yvone Guerrero,1/20/2016,Merrick,NY,1,449.00,Pure Cycles William 3-Speed - 2016,Cruisers Bicycles,Baldwin Bikes,$45,$404
30,Yvone Guerrero,1/20/2016,Merrick,NY,1,2899.99,Trek Fuel EX 8 29 - 2016,Mountain Bikes,Baldwin Bikes,$290,"$2,610"
30,Yvone Guerrero,1/20/2016,Merrick,NY,2,7999.98,Trek Slash 8 27.5 - 2016,Mountain Bikes,Baldwin Bikes,$800,"$7,200"
31,Edgar Quinn,1/20/2016,Harlingen,TX,2,3361.98,Surly Straggler 650b - 2016,Cyclocross Bicycles,Rowlett Bikes,$168,"$3,194"
31,Edgar Quinn,1/20/2016,Harlingen,TX,2,5999.98,Trek Conduit+ - 2016,Electric Bikes,Rowlett Bikes,"$1,200","$4,800"
32,Kimbery Nieves,1/21/2016,San Carlos,CA,2,1099.98,Electra Townie Original 21D - 2016,Cruisers Bicycles,Santa Cruz Bikes,$77,"$1,023"
32,Kimbery Nieves,1/21/2016,San Carlos,CA,2,999.98,Electra Townie Original 7D - 2015/2016,Comfort Bicycles,Santa Cruz Bikes,$100,$900
32,Kimbery Nieves,1/21/2016,San Carlos,CA,2,3599.98,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,Santa Cruz Bikes,$252,"$3,348"
33,Verona O'neill,1/21/2016,Selden,NY,2,599.98,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Children Bicycles,Baldwin Bikes,$42,$558
33,Verona O'neill,1/21/2016,Selden,NY,1,3999.99,Trek Slash 8 27.5 - 2016,Mountain Bikes,Baldwin Bikes,$400,"$3,600"
34,Sarai Mckee,1/22/2016,Buffalo,NY,2,858.00,Pure Cycles Vine 8-Speed - 2016,Cruisers Bicycles,Baldwin Bikes,$172,$686
34,Sarai Mckee,1/22/2016,Buffalo,NY,2,3098.00,Surly Straggler - 2016,Cyclocross Bicycles,Baldwin Bikes,$310,"$2,788"
34,Sarai Mckee,1/22/2016,Buffalo,NY,2,3599.98,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,Baldwin Bikes,$252,"$3,348"
35,Neville Mcclain,1/22/2016,West Hempstead,NY,2,539.98,Electra Cruiser 1 (24-Inch) - 2016,Children Bicycles,Baldwin Bikes,$38,$502
35,Neville Mcclain,1/22/2016,West Hempstead,NY,1,269.99,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Children Bicycles,Baldwin Bikes,$19,$251
35,Neville Mcclain,1/22/2016,West Hempstead,NY,2,1199.98,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Baldwin Bikes,$60,"$1,140"
35,Neville Mcclain,1/22/2016,West Hempstead,NY,1,1320.99,Heller Shagamaw Frame - 2016,Mountain Bikes,Baldwin Bikes,$264,"$1,057"
35,Neville Mcclain,1/22/2016,West Hempstead,NY,1,449.00,Pure Cycles Western 3-Speed - Women's - 2015/2016,Cruisers Bicycles,Baldwin Bikes,$22,$427
36,Shantel Gregory,1/23/2016,West Islip,NY,1,1320.99,Heller Shagamaw Frame - 2016,Mountain Bikes,Baldwin Bikes,$66,"$1,255"
36,Shantel Gregory,1/23/2016,West Islip,NY,2,1999.98,Surly Wednesday Frameset - 2016,Mountain Bikes,Baldwin Bikes,$400,"$1,600"
36,Shantel Gregory,1/23/2016,West Islip,NY,1,2999.99,Trek Conduit+ - 2016,Electric Bikes,Baldwin Bikes,$210,"$2,790"
37,Tomika Larson,1/25/2016,Woodside,NY,2,1199.98,Electra Townie Original 7D EQ - 2016,Cruisers Bicycles,Baldwin Bikes,$60,"$1,140"
38,Lashandra Turner,1/25/2016,Long Beach,NY,1,299.99,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Children Bicycles,Baldwin Bikes,$21,$279
38,Lashandra Turner,1/25/2016,Long Beach,NY,1,549.99,Electra Townie Original 21D - 2016,Comfort Bicycles,Baldwin Bikes,$38,$511
38,Lashandra Turner,1/25/2016,Long Beach,NY,1,499.99,Electra Townie Original 7D - 2015/2016,Comfort Bicycles,Baldwin Bikes,$100,$400
38,Lashandra Turner,1/25/2016,Long Beach,NY,2,3098.00,Surly Straggler - 2016,Cyclocross Bicycles,Baldwin Bikes,$310,"$2,788"
38,Lashandra Turner,1/25/2016,Long Beach,NY,2,7999.98,Trek Slash 8 27.5 - 2016,Mountain Bikes,Baldwin Bikes,$400,"$7,600"
39,Travis Whitley,1/25/2016,Saint Albans,NY,2,539.98,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Children Bicycles,Baldwin Bikes,$108,$432
39,Travis Whitley,1/25/2016,Saint Albans,NY,1,529.99,Electra Moto 1 - 2016,Cruisers Bicycles,Baldwin Bikes,$53,$477
39,Travis Whitley,1/25/2016,Saint Albans,NY,2,1199.98,Electra Townie Original 7D EQ - 2016,Cruisers Bicycles,Baldwin Bikes,$240,$960
39,Travis Whitley,1/25/2016,Saint Albans,NY,2,1999.98,Surly Wednesday Frameset - 2016,Mountain Bikes,Baldwin Bikes,$100,"$1,900"
40,Darren Witt,1/27/2016,Coachella,CA,1,429.00,Pure Cycles Vine 8-Speed - 2016,Cruisers Bicycles,Santa Cruz Bikes,$86,$343
40,Darren Witt,1/27/2016,Coachella,CA,2,3599.98,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,Santa Cruz Bikes,$720,"$2,880"
41,Ingeborg Ellison,1/27/2016,Ithaca,NY,2,1199.98,Electra Townie Original 7D EQ - 2016,Comfort Bicycles,Baldwin Bikes,$240,$960
41,Ingeborg Ellison,1/27/2016,Ithaca,NY,1,1320.99,Heller Shagamaw Frame - 2016,Mountain Bikes,Baldwin Bikes,$132,"$1,189"
41,Ingeborg Ellison,1/27/2016,Ithaca,NY,2,898.00,Pure Cycles William 3-Speed - 2016,Cruisers Bicycles,Baldwin Bikes,$180,$718
42,Corene Swanson,1/27/2016,Rego Park,NY,1,449.00,Pure Cycles William 3-Speed - 2016,Cruisers Bicycles,Baldwin Bikes,$22,$427
43,Elana Miles,1/27/2016,Liverpool,NY,2,539.98,Electra Cruiser 1 (24-Inch) - 2016,Cruisers Bicycles,Baldwin Bikes,$54,$486
43,Elana Miles,1/27/2016,Liverpool,NY,2,1099.98,Electra Townie Original 21D - 2016,Cruisers Bicycles,Baldwin Bikes,$55,"$1,045"
44,Olympia Figueroa,1/28/2016,Hopewell Junction,NY,1,599.99,Electra Townie Original 7D EQ - 2016,Cruisers Bicycles,Baldwin Bikes,$30,$570
44,Olympia Figueroa,1/28/2016,Hopewell Junction,NY,1,3999.99,Trek Slash 8 27.5 - 2016,Mountain Bikes,Baldwin Bikes,$400,"$3,600"
45,Carissa Cross,1/28/2016,Huntington Station,NY,2,539.98,Electra Cruiser 1 (24-Inch) - 2016,Children Bicycles,Baldwin Bikes,$27,$513
45,Carissa Cross,1/28/2016,Huntington Station,NY,1,269.99,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Children Bicycles,Baldwin Bikes,$19,$251
45,Carissa Cross,1/28/2016,Huntington Station,NY,2,5799.98,Trek Fuel EX 8 29 - 2016,Mountain Bikes,Baldwin Bikes,"$1,160","$4,640"
46,Eldridge Greer,1/29/2016,Central Islip,NY,1,429.00,Pure Cycles Vine 8-Speed - 2016,Cruisers Bicycles,Baldwin Bikes,$43,$386
47,Joshua Berg,1/29/2016,Ossining,NY,1,269.99,Electra Cruiser 1 (24-Inch) - 2016,Cruisers Bicycles,Baldwin Bikes,$54,$216
47,Joshua Berg,1/29/2016,Ossining,NY,1,529.99,Electra Moto 1 - 2016,Cruisers Bicycles,Baldwin Bikes,$53,$477
47,Joshua Berg,1/29/2016,Ossining,NY,2,999.98,Electra Townie Original 7D - 2015/2016,Comfort Bicycles,Baldwin Bikes,$70,$930
47,Joshua Berg,1/29/2016,Ossining,NY,1,469.99,Surly Ice Cream Truck Frameset - 2016,Mountain Bikes,Baldwin Bikes,$23,$446
48,Josephine Dale,1/30/2016,Baldwinsville,NY,2,539.98,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Cruisers Bicycles,Baldwin Bikes,$38,$502
48,Josephine Dale,1/30/2016,Baldwinsville,NY,2,2641.98,Heller Shagamaw Frame - 2016,Mountain Bikes,Baldwin Bikes,$264,"$2,378"
48,Josephine Dale,1/30/2016,Baldwinsville,NY,1,1680.99,Surly Straggler 650b - 2016,Cyclocross Bicycles,Baldwin Bikes,$168,"$1,513"
48,Josephine Dale,1/30/2016,Baldwinsville,NY,1,2899.99,Trek Fuel EX 8 29 - 2016,Mountain Bikes,Baldwin Bikes,$580,"$2,320"
49,Taisha Vang,1/31/2016,Shirley,NY,2,539.98,Electra Cruiser 1 (24-Inch) - 2016,Cruisers Bicycles,Baldwin Bikes,$38,$502
50,Silas Tate,1/31/2016,Corpus Christi,TX,2,539.98,Electra Cruiser 1 (24-Inch) - 2016,Cruisers Bicycles,Rowlett Bikes,$108,$432
50,Silas Tate,1/31/2016,Corpus Christi,TX,2,1199.98,Electra Townie Original 7D EQ - 2016,Comfort Bicycles,Rowlett Bikes,$84,"$1,116"
50,Silas Tate,1/31/2016,Corpus Christi,TX,1,999.99,Surly Wednesday Frameset - 2016,Mountain Bikes,Rowlett Bikes,$50,$950
51,Jamaal Baker,2/1/2016,Elmhurst,NY,1,269.99,Electra Cruiser 1 (24-Inch) - 2016,Cruisers Bicycles,Baldwin Bikes,$13,$256
51,Jamaal Baker,2/1/2016,Elmhurst,NY,2,1199.98,Electra Townie Original 7D EQ - 2016,Comfort Bicycles,Baldwin Bikes,$240,$960
51,Jamaal Baker,2/1/2016,Elmhurst,NY,1,599.99,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Baldwin Bikes,$30,$570
52,Twana Arnold,2/3/2016,Anaheim,CA,1,499.99,Electra Townie Original 7D - 2015/2016,Comfort Bicycles,Santa Cruz Bikes,$35,$465
53,Margit Osborn,2/3/2016,Plainview,NY,2,539.98,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Cruisers Bicycles,Baldwin Bikes,$108,$432
53,Margit Osborn,2/3/2016,Plainview,NY,2,599.98,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Children Bicycles,Baldwin Bikes,$30,$570
53,Margit Osborn,2/3/2016,Plainview,NY,2,999.98,Electra Townie Original 7D - 2015/2016,Comfort Bicycles,Baldwin Bikes,$100,$900
53,Margit Osborn,2/3/2016,Plainview,NY,2,3599.98,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,Baldwin Bikes,$720,"$2,880"
54,Inge Olsen,2/4/2016,Long Beach,NY,2,1199.98,Electra Townie Original 7D EQ - 2016,Comfort Bicycles,Baldwin Bikes,$240,$960
54,Inge Olsen,2/4/2016,Long Beach,NY,1,999.99,Surly Wednesday Frameset - 2016,Mountain Bikes,Baldwin Bikes,$200,$800
55,Chanel May,2/4/2016,Garden City,NY,1,269.99,Electra Cruiser 1 (24-Inch) - 2016,Children Bicycles,Baldwin Bikes,$13,$256
55,Chanel May,2/4/2016,Garden City,NY,2,1059.98,Electra Moto 1 - 2016,Cruisers Bicycles,Baldwin Bikes,$212,$848
55,Chanel May,2/4/2016,Garden City,NY,2,999.98,Electra Townie Original 7D - 2015/2016,Comfort Bicycles,Baldwin Bikes,$200,$800
56,Nathaniel Davidson,2/4/2016,Rome,NY,2,1199.98,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Baldwin Bikes,$84,"$1,116"
57,Dalia Carson,2/4/2016,Rochester,NY,1,269.99,Electra Cruiser 1 (24-Inch) - 2016,Cruisers Bicycles,Baldwin Bikes,$19,$251
57,Dalia Carson,2/4/2016,Rochester,NY,2,599.98,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Children Bicycles,Baldwin Bikes,$60,$540
57,Dalia Carson,2/4/2016,Rochester,NY,2,898.00,Pure Cycles William 3-Speed - 2016,Cruisers Bicycles,Baldwin Bikes,$180,$718
58,Tiana Henderson,2/5/2016,Franklin Square,NY,2,539.98,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Cruisers Bicycles,Baldwin Bikes,$27,$513
58,Tiana Henderson,2/5/2016,Franklin Square,NY,1,299.99,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Children Bicycles,Baldwin Bikes,$30,$270
58,Tiana Henderson,2/5/2016,Franklin Square,NY,1,449.00,Pure Cycles Western 3-Speed - Women's - 2015/2016,Cruisers Bicycles,Baldwin Bikes,$31,$418
59,Rodney Odom,2/5/2016,Richmond Hill,NY,1,269.99,Electra Cruiser 1 (24-Inch) - 2016,Children Bicycles,Baldwin Bikes,$13,$256
59,Rodney Odom,2/5/2016,Richmond Hill,NY,2,858.00,Pure Cycles Vine 8-Speed - 2016,Cruisers Bicycles,Baldwin Bikes,$86,$772
